Title,ECTS,Link
M-INFO-100840 – Lokalisierung mobiler Agenten,6.0,../../campus/all/abstractModuleView.asp?gguid=0x36A2C71CB54A2B42B9723DEBA7120D54&camvguid=0xA7D5F2CBDF5CB74892A2CD3D7E4C4E11&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100841 – Formale Systeme II: Theorie,5.0,../../campus/all/abstractModuleView.asp?gguid=0x86F8A14505F2914D975847F4E582AB2F&camvguid=0x5D46533AC88C8343903D11077772350F&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100844 – Software-Architektur und -Qualität,3.0,../../campus/all/abstractModuleView.asp?gguid=0x826567B1AEAFF24E98E8758AE236C939&camvguid=0x013C8D9F8A3FD544BD656FF0496D04BC&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100847 – Grundlagen der Automatischen Spracherkennung,6.0,../../campus/all/abstractModuleView.asp?gguid=0xAA3C13681C3EC547AD88F18A80EBD21F&camvguid=0x881D93C82C0A97419863B3F0233B149A&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100848 – Maschinelle Übersetzung,6.0,../../campus/all/abstractModuleView.asp?gguid=0x9DACFD390E3B1646A9464B27D349DDAE&camvguid=0x4ADE78B281FE5E4BA516AE5426DE4C92&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100849 – Seminar Betriebssysteme für Fortgeschrittene,6.0,../../campus/all/abstractModuleView.asp?gguid=0x054B06C7B3211847ADDA772C55C8ED82&camvguid=0x0ECF1406A9FA6D4D910674D899848345&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100850 – Reliable Computing I,3.0,../../campus/all/abstractModuleView.asp?gguid=0xA1A9AFAD8FAC6F49AF2E4A353269EC6E&camvguid=0x2F8065089BE7FC4384A7EAB68C8B04DE&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100851 – Testing Digital Systems I,3.0,../../campus/all/abstractModuleView.asp?gguid=0x1AC5C88BAF48E24397EB3FBCEC8ACBE3&camvguid=0x5132CCC6152392449A96FCAB323B5609&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100852 – Inhaltsbasierte Bild- und Videoanalyse,3.0,../../campus/all/abstractModuleView.asp?gguid=0x2F748C816EB56F4EA38BA7E1D75A513A&camvguid=0xF2317CA063E8AB4984C19EE88921662E&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100853 – Symmetrische Verschlüsselungsverfahren,3.0,../../campus/all/abstractModuleView.asp?gguid=0x78AD7E36B3078E43B7CF7FB0F0A113E1&camvguid=0x17CC442EE66073429E8B3033B8BB6066&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
